"Site Url";"Global Rank";"Country Rank";"Category Rank";"Country S"
ikea.com;163;208;1;"United States"
cdon.dk;62,003;238;5,423;Denmark
inkclub.com;113,344;2,581;209;Sweden
skruvat.com;1,895,161;44,491;892;Sweden
cph.dk;55,841;310;234;Denmark
cdon.eu;531,493;42,456;278;Spain
wc.nu;19,367,844;379,812;1,701,775;Sweden
112ink.se;4,374,623;70,003;6,548;Sweden
ahlsell.dk;9,887,880;604,212;95,771;Sweden
ahlsell.fi;1,001,860;6,348;136,970;Finland
ahlsell.no;497,095;3,157;11,333;Norway
ahlsell.se;219,627;2,300;21,038;Sweden
ajproduktai.lt;871,102;3,827;115,435;Lithuania
ajproizvodi.com;4,156,964;21,456;729,596;Croatia
ajprodukter.no;696,038;5,030;87,901;Norway
ajprodukter.se;580,276;7,280;1,613;Sweden
ajprodukte.at;2,606,779;34,129;426,148;Austria
ajprodukte.de;1,972,887;126,438;188,012;Germany
ajprodukti.lv;1,426,937;4,347;209,804;Latvia
ajproducts.co.uk;844,252;65,427;110,999;"United Kingdom"
ajproducts.ie;1,328,676;10,532;192,519;Ireland
ajprodukty.cz;967,103;13,517;131,170;"Czech Republic"
ajprodukty.pl;416,576;13,241;131;Poland
ajprodukty.sk;1,011,373;7,041;92,744;Slovakia
ajtuotteet.fi;1,098,985;6,991;153,209;Finland
ajvorulistinn.is;1,844,483;2,024;17,324;Iceland
aonet.se;3,033,794;28,966;51,616;Denmark
apotekhjartat.se;89,769;728;37;Sweden
bigdug.co.uk;257,078;17,127;251;"United Kingdom"
billigaarbetsklader.se;no-data;no-data;no-data;no-data
boardstore.se;N/A;N/A;N/A;Unknown
bosajten.se;N/A;N/A;N/A;Unknown
bsbildeler.no;304,065;1,749;6,734;Norway
byggmax.com;732,526;11,212;2,102;Sweden
byggmax.fi;152,321;726;1,226;Finland
byggmax.no;88,226;423;696;Norway
byggmax.se;30,890;217;2,750;Sweden
bygghemma.se;62,018;473;5,424;Sweden
bygghjemme.no;437,364;2,703;9,471;Norway
cdon.com;442,487;8,894;239;Sweden
cdon.fi;28,474;97;2,568;Finland
cdon.no;26,528;110;279;Norway
cdon.se;11,847;83;1,106;Sweden
coop.no;28,326;118;1,653;Norway
dammsugarpasar.nu;619,681;7,568;55,918;Sweden
dustin.dk;206,162;1,014;2,036;Denmark
dustin.no;239,078;1,336;11,607;Norway
dustin.se;64,389;515;673;Sweden
dustin.fi;1,290,192;8,170;N/A;Finland
dustinhome.dk;99,567;424;1,019;Denmark
dustinhome.no;77,481;354;808;Norway
dustinhome.se;29,912;208;320;Sweden
dustinhome.fi;444,851;2,396;N/A;Finland
gelia.fi;12,786,073;116,058;2,519,003;Finland
gelia.no;13,144,419;227,860;571,597;Norway
gelia.se;1,122,426;15,040;3,386;Sweden
handleliste.com;N/A;N/A;N/A;Unknown
inky.se;1,830,322;24,851;3,333;Sweden
jollyroom.dk;280,680;1,496;891;Denmark
jollyroom.fi;266,472;1,271;842;Finland
jollyroom.no;128,114;636;10,910;Norway
jollyroom.se;71,366;563;6,186;Sweden
junkyard.fi;196,222;909;16,894;Finland
junkyard.no;175,576;923;872;Norway
junkyard.se;70,873;590;291;Sweden
kataloska-prodaja.ba;5,454,059;35,915;993,487;Croatia
kjell.com;18,540;138;200;Sweden
lekmer.dk;605,448;3,755;16,154;Denmark
lekmer.no;245,988;1,497;21,238;Norway
lekmer.se;88,656;720;3,370;Sweden
lyko.se;59,059;449;5,182;Sweden
medicinlager.com;no-data;no-data;no-data;no-data
medicinlagret.com;no-data;no-data;no-data;no-data
moebel-shop.de;423,124;25,266;2,272;Germany
mynetdeal.se;583,961;6,934;N/A;Sweden
ostermann.de;112,381;5,904;448;Germany
platekompaniet.no;67,085;326;42;Norway
procurator.se;24,836,789;546,400;4,726,584;Sweden
skruvat.dk;665,924;4,127;15,437;Denmark
skruvat.fi;287,444;1,369;129;Finland
skruvat.no;101,907;487;8,204;Norway
skruvat.se;67,037;528;1,339;Sweden
spermaharen.se;24,950,459;553,060;51,346;Sweden
trends.de;192,810;10,276;882;Germany
xlhemma.se;545,699;6,280;N/A;Sweden
zanox.com;N/A;N/A;N/A;Unknown
